Name,Rating,Type,Num_of_Reviews,Highly Rated for,Critically Rated for,Location
KLAY Preschool and Daycare,3.5,Education & Training,(439),,"Promotions, Company Culture, Work Satisfaction",Bengaluru +18 other locations
A. O. Smith India Water Products Private Limited,3.5,Consumer Electronics & Appliances,(439),Salary,"Promotions, Company Culture, Work Satisfaction",Bengaluru +49 other locations
Jyoti CNC Automation,3.9,Industrial Machinery,(439),"Job Security, Skill Development",Promotions,Rajkot +32 other locations
ANR Software Private Limited,4.1,IT Services & Consulting,(438),"Job Security, Company Culture, Skill Development",,Noida +5 other locations
Mazagon Dock,4.2,Ports & Shipping,(439),"Work Life Balance, Work Satisfaction, Company Culture",Promotions,Mumbai +10 other locations
National Organic Chemical Industries,3.8,Chemicals,(438),"Work Life Balance, Job Security, Company Culture","Promotions, Salary",Bharuch +14 other locations
GTL Infrastructure,4.2,Hardware & Networking,(438),"Work Life Balance, Company Culture, Work Satisfaction",,Mumbai +47 other locations
Marksans Pharma,3.4,Pharma,(438),,"Promotions, Company Culture, Work Life Balance",South Goa +27 other locations
PULSUS HealthTech Group,3.2,Printing & Publishing,(438),,"Salary, Promotions, Job Security",Visakhapatnam +8 other locations
TotalEnergies,3.7,Oil & Gas,(438),,"Promotions, Salary, Work Satisfaction",Mumbai +66 other locations
FCM Travel,3.4,Travel & Tourism,(437),,"Promotions, Job Security, Work Satisfaction",New Delhi +23 other locations
Nous Infosystems,3.5,IT Services & Consulting,(437),,"Promotions, Salary, Work Satisfaction",Bengaluru +8 other locations
IL&FS Engineering and Construction,4.4,Engineering & Construction,(437),"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Hyderabad +52 other locations
Motilal Oswal Private Wealth Management,4.5,Financial Services,(437),"Company Culture, Skill Development, Work Life Balance",,Mumbai +26 other locations
Impact Guru,3.5,Internet,(437),,"Promotions, Company Culture, Work Life Balance",Mumbai +23 other locations
IIMI Image Management Private Limited,4.0,BPO,(437),"Company Culture, Work Life Balance, Work Satisfaction",,Kolkata +6 other locations
Honeywell International India,4.0,Defence & Aerospace,(437),"Company Culture, Work Life Balance",Promotions,Pune +23 other locations
Groupon,3.0,Internet,(436),,"Job Security, Promotions, Skill Development",Chennai +9 other locations
Ind-Swift Laboratories,3.8,Pharma,(436),"Job Security, Work Life Balance",Promotions,Chandigarh +26 other locations
Powerweave,3.3,BPO,(436),,"Promotions, Skill Development, Salary",Mumbai +7 other locations
Orient Bell,3.4,Building Material,(436),,"Promotions, Company Culture, Work Satisfaction",New Delhi +74 other locations
Learning Routes,4.5,EdTech,(436),"Company Culture, Skill Development, Work Life Balance",,Gurugram +15 other locations
IndusInd Capital,3.9,Financial Services,(436),"Work Life Balance, Company Culture",,Mumbai +88 other locations
Nidec Corporation,3.6,Electronics Manufacturing,(437),,"Promotions, Skill Development",Neemrana +29 other locations
Imarticus Learning,3.9,EdTech,(436),"Company Culture, Work Life Balance, Salary",,Mumbai +24 other locations
Kutchina,3.4,Consumer Electronics & Appliances,(435),,"Promotions, Salary, Job Security",Kolkata +66 other locations
Hero Housing Finance,3.8,NBFC,(435),Salary,Promotions,New Delhi +92 other locations
Bmm Ispat,3.9,Iron & Steel,(436),"Job Security, Work Life Balance, Company Culture",Promotions,Hosapete +14 other locations
Tally Solutions,4.0,Software Product,(435),"Company Culture, Work Life Balance, Job Security",Promotions,Bengaluru +67 other locations
Haldia Petrochemicals,3.7,Petrochemicals,(435),"Job Security, Work Life Balance","Promotions, Skill Development, Company Culture",Haldia +15 other locations
Paynearby Technologies,3.9,FinTech,(435),"Salary, Company Culture, Work Life Balance",,Mumbai +124 other locations
Mann And Hummel Filter,3.8,Industrial Machinery,(435),Work Life Balance,"Promotions, Skill Development",Bengaluru +20 other locations
360 Realtors,3.5,Real Estate,(435),,"Job Security, Work Life Balance, Work Satisfaction",Pune +25 other locations
Intelizign Lifecycle Services,3.8,IT Services & Consulting,(435),"Company Culture, Work Life Balance, Job Security",Promotions,Pune +7 other locations
Tessolve,3.3,Semiconductors,(435),,"Promotions, Salary, Work Life Balance",Bengaluru +11 other locations
Nowfloats Technologies,3.8,Software Product,(435),,Promotions,Hyderabad +40 other locations
Lotte India Corporation,4.0,FMCG,(435),Work Life Balance,Promotions,Chennai +89 other locations
Baramati Agro,3.8,Food Processing,(435),,Promotions,Pune +48 other locations
Ensono,4.1,IT Services & Consulting,(434),"Company Culture, Work Life Balance, Salary",Promotions,Pune +10 other locations
RSWM Limited,4.1,Fashion & Textile,(434),"Company Culture, Job Security, Work Life Balance",Promotions,Bhilwara +31 other locations
Flipkart Wholesale,3.9,Internet,(434),,Promotions,Bengaluru +61 other locations
Nagarjuna Fertilizers and Chemicals,4.1,Agro Chemicals,(434),"Company Culture, Work Life Balance, Skill Development","Promotions, Salary",Kakinada +69 other locations
Entrata,3.8,Software Product,(434),"Company Culture, Work Life Balance","Promotions, Skill Development, Salary",Pune +5 other locations
Ramada,3.8,Hospitality,(434),,"Promotions, Salary",Mumbai +59 other locations
ARMSOFTECH.AIR,3.3,IT Services & Consulting,(434),,"Promotions, Salary, Company Culture",Chennai +16 other locations
Mintifi,3.4,Financial Services,(433),,"Job Security, Promotions, Company Culture",Mumbai +103 other locations
CWT,3.4,Travel & Tourism,(433),,"Promotions, Skill Development, Company Culture",New Delhi +13 other locations
Carrier Midea,3.5,Consumer Electronics & Appliances,(434),,"Promotions, Job Security, Salary",Pune +55 other locations
IMS People,3.6,Recruitment,(433),,"Promotions, Salary, Work Satisfaction",Ahmedabad +28 other locations
Self Practice,4.4,Analytics & KPO,(433),"Skill Development, Work Life Balance, Work Satisfaction",,New Delhi +124 other locations
Chambal Fertilisers And Chemicals,3.8,Agro Chemicals,(433),"Job Security, Salary","Promotions, Company Culture, Work Life Balance",Kota +54 other locations
Eurofins It Solutions,2.8,IT Services & Consulting,(433),,"Promotions, Work Satisfaction, Job Security",Bengaluru +6 other locations
Astra Microwave Products,4.0,Defence & Aerospace,(432),"Job Security, Work Life Balance, Skill Development","Salary, Promotions",Hyderabad +16 other locations
Ashiana Housing,4.0,Real Estate,(432),"Skill Development, Job Security, Company Culture",,Jaipur +19 other locations
Samsonite,4.1,Retail,(432),"Company Culture, Work Life Balance, Work Satisfaction",Promotions,Nashik +62 other locations
Pon Pure Chemical,3.6,Chemicals,(432),Job Security,"Promotions, Salary, Company Culture",Chennai +42 other locations
Le Méridien,4.1,Hospitality,(432),"Skill Development, Company Culture, Work Satisfaction",,New Delhi +27 other locations
India Nippon Electricals,3.6,Electrical Equipment,(432),,"Promotions, Salary",Hosur +27 other locations
Samsung C&T,4.2,Engineering & Construction,(432),"Salary, Company Culture, Work Life Balance",,Mumbai +27 other locations
Capital Foods,4.2,Food Processing,(432),"Salary, Work Life Balance, Company Culture",,Mumbai +75 other locations
CES,3.3,IT Services & Consulting,(431),,"Promotions, Job Security, Skill Development",Hyderabad +15 other locations
Europa Locks,3.8,Building Material,(431),Work Life Balance,Promotions,Pune +43 other locations
Novartis Healthcare,4.0,Pharma,(431),"Work Life Balance, Company Culture, Salary",Promotions,Hyderabad +25 other locations
Silver Touch Technologies,2.9,IT Services & Consulting,(431),,"Promotions, Salary, Company Culture",New Delhi +40 other locations
Desun Hospital & Heart Institute,3.8,Healthcare,(431),Skill Development,"Promotions, Salary",Kolkata +11 other locations
ABCI Infrastructures,3.3,Engineering & Construction,(430),,"Promotions, Company Culture, Work Satisfaction",Bengaluru +51 other locations
Reshamandi,3.5,Fashion & Textile,(430),,"Job Security, Promotions, Skill Development",Bengaluru +32 other locations
Spice Money,4.1,FinTech,(430),"Company Culture, Work Life Balance, Skill Development",,Noida +111 other locations
YKK,3.7,Fashion & Textile,(430),"Job Security, Work Life Balance","Promotions, Salary, Skill Development",Rewari +26 other locations
B.C. Jindal Group of Companies,3.9,Iron & Steel,(429),"Work Life Balance, Salary",,New Delhi +33 other locations
Buhler,3.8,Industrial Machinery,(429),,"Promotions, Salary",Bengaluru +28 other locations
Hike Education Private Limited,4.3,EdTech,(429),"Company Culture, Skill Development, Work Satisfaction",,Gurugram +6 other locations
Samsung SDS,2.9,IT Services & Consulting,(428),,"Skill Development, Work Satisfaction, Promotions",Gurugram +22 other locations
Shyam Sel & Power,3.7,Electronics Manufacturing,(428),,"Promotions, Company Culture, Skill Development",Kolkata +24 other locations
Oberoi Realty,4.3,Real Estate,(427),"Work Life Balance, Company Culture, Work Satisfaction",,Mumbai +11 other locations
TTK Healthcare,4.1,Medical Equipment,(427),"Work Life Balance, Company Culture, Job Security",,Chennai +79 other locations
Mahindra Last Mile Mobility,3.8,Automobile,(428),Job Security,Promotions,Bengaluru +31 other locations
NCSI Technologies Pvt Ltd,3.6,IT Services & Consulting,(427),,"Promotions, Work Satisfaction, Job Security",Pune +5 other locations
Nettur Technical Training Foundation,3.6,Education & Training,(426),,"Promotions, Salary, Company Culture",Bengaluru +44 other locations
Prolifics Corporation,3.6,IT Services & Consulting,(426),,"Promotions, Salary, Company Culture",Hyderabad +6 other locations
Uniparts Group,3.7,Industrial Machinery,(426),,"Promotions, Company Culture, Work Satisfaction",Noida +15 other locations
Prolifics Corporation,3.6,IT Services & Consulting,(426),,"Promotions, Salary, Company Culture",Hyderabad +6 other locations
Franchise India Brands,2.9,Marketing & Advertising,(426),,"Job Security, Company Culture, Work Satisfaction",New Delhi +30 other locations
Nettur Technical Training Foundation,3.6,Education & Training,(426),,"Promotions, Salary, Company Culture",Bengaluru +44 other locations
Systems Plus,4.2,IT Services & Consulting,(426),"Work Life Balance, Company Culture, Salary",,Pune +11 other locations
Secure Value,3.4,IT Services & Consulting,(425),,"Promotions, Job Security, Salary",Mumbai +83 other locations
Indiafilings,3.9,Internet,(425),"Skill Development, Company Culture, Work Life Balance",,Chennai +12 other locations
Sagar Cements,4.3,Building Material,(425),"Job Security, Work Life Balance, Company Culture",,Hyderabad +44 other locations
AIMLAY,4.7,EdTech,(425),"Company Culture, Work Life Balance, Work Satisfaction",,New Delhi +3 other locations
NR Consulting,4.7,IT Services & Consulting,(424),"Company Culture, Work Life Balance, Work Satisfaction",,Noida +19 other locations
Tagros Chemicals,3.5,Agro Chemicals,(424),,"Promotions, Company Culture, Job Security",Cuddalore +12 other locations
Bangalore International Airport,4.3,Aviation,(424),"Job Security, Company Culture, Work Life Balance",,Bengaluru +16 other locations
DataMetica,3.0,IT Services & Consulting,(424),,"Work Life Balance, Promotions, Company Culture",Pune +7 other locations
Aka Logistics,3.2,Logistics,(424),,"Promotions, Company Culture, Job Security",Kolkata +38 other locations
Starbucks,4.1,Hospitality,(424),"Job Security, Company Culture, Skill Development",,Mumbai +60 other locations
Capital Trust,3.4,NBFC,(423),,"Job Security, Company Culture, Work Life Balance",New Delhi +126 other locations
Global Indian International School,4.2,Education & Training,(423),"Job Security, Company Culture, Work Life Balance",,Noida +23 other locations
The Belgian Waffle co,4.4,Hospitality,(423),"Company Culture, Work Life Balance, Job Security",,Mumbai +30 other locations
Educomp Solutions,3.4,EdTech,(423),,"Job Security, Promotions, Salary",Gurugram +112 other locations
ITC Limited - Paperboards Specialty Papers Division,3.9,Packaging,(423),"Job Security, Skill Development, Company Culture","Promotions, Salary",Bhadrachalam +18 other locations
Saama Technologies,3.7,IT Services & Consulting,(423),,"Promotions, Job Security, Work Satisfaction",Pune +6 other locations
Viva Composite Panel,4.5,Building Material,(424),"Company Culture, Work Life Balance, Work Satisfaction",,Mumbai +61 other locations
Bonace Engineers,4.0,Recruitment,(423),"Work Life Balance, Company Culture, Work Satisfaction","Promotions, Job Security",Mumbai +59 other locations
Zealous Services,2.6,Design,(423),,"Promotions, Salary, Job Security",Chennai +9 other locations
Owens Corning,3.6,Building Material,(423),Job Security,"Promotions, Work Satisfaction, Salary",Mumbai +13 other locations
Rama Medical College Hospital & Research Centre,3.7,Healthcare,(423),,"Job Security, Promotions",Kanpur +22 other locations
Roca Bathroom Products,3.7,Building Material,(422),,"Promotions, Company Culture, Work Satisfaction",Chennai +58 other locations
Aliens Group,3.8,Real Estate,(422),"Job Security, Skill Development, Salary",,Hyderabad +6 other locations
Indigo Paints,3.8,Chemicals,(422),Salary,"Promotions, Skill Development",Pune +103 other locations
Venus Remedies,4.2,Pharma,(422),"Company Culture, Work Satisfaction, Salary",,Baddi +40 other locations
National Bulk Handling Corporation,4.0,Agriculture,(423),"Work Life Balance, Company Culture, Work Satisfaction",,Mumbai +76 other locations
Metrochem Api,3.1,Pharma,(422),,"Promotions, Salary, Company Culture",Hyderabad +13 other locations
Daimler Truck,3.6,Automobile,(422),"Work Life Balance, Job Security","Promotions, Skill Development, Work Satisfaction",Bengaluru +8 other locations
Qwik Supply Chain,3.8,,(421),"Work Life Balance, Skill Development",Promotions,Mumbai +143 other locations
Medica Superspecialty Hospital,3.9,Healthcare,(421),,"Promotions, Salary",Kolkata +18 other locations
MyMoneyMantra,3.1,Internet,(421),,"Promotions, Job Security, Salary",New Delhi +28 other locations
Adani Infra,3.7,Engineering & Construction,(421),Salary,"Promotions, Company Culture, Work Satisfaction",Ahmedabad +52 other locations
Gtpl Hathway,4.0,Broadcasting,(421),"Work Life Balance, Job Security",Promotions,Ahmedabad +53 other locations
CogentHubCX.AI,3.2,BPO,(421),,"Promotions, Company Culture, Job Security",Kolkata +9 other locations
myGate,3.0,Law Enforcement & Security,(421),,"Job Security, Work Life Balance, Work Satisfaction",Bengaluru +21 other locations
Enphase Energy,2.6,Power,(421),,"Company Culture, Job Security, Work Life Balance",Bengaluru +12 other locations
V-Xpress,3.9,Logistics,(421),Work Life Balance,"Promotions, Skill Development",Mumbai +64 other locations
Pole To Win,3.2,Gaming,(420),,"Promotions, Job Security, Salary",Bengaluru +9 other locations
Dorset Industries,4.4,Building Material,(420),"Work Life Balance, Job Security, Company Culture",,Gurugram +52 other locations
Indian Overseas Bank,3.4,Banking,(420),Job Security,"Company Culture, Work Life Balance, Promotions",Chennai +87 other locations
Havmor Ice Cream,4.1,Food Processing,(420),"Work Life Balance, Company Culture, Work Satisfaction",,Ahmedabad +71 other locations
ArisGlobal,2.8,IT Services & Consulting,(420),,"Job Security, Company Culture, Promotions",Bengaluru +10 other locations
Accelya Solutions India Limited,3.4,IT Services & Consulting,(420),,"Promotions, Skill Development, Work Satisfaction",Mumbai +12 other locations
Apex Laboratories,3.9,Pharma,(421),"Work Life Balance, Job Security","Promotions, Salary",Chennai +61 other locations
P.D. Hinduja National Hospital and Medical Research Centre,3.9,Healthcare,(420),"Work Life Balance, Job Security",Promotions,Mumbai +13 other locations
HYT Engineering Company Pvt Ltd,3.2,Industrial Machinery,(420),,"Job Security, Promotions, Company Culture",Pune +29 other locations
Agro Tech Foods,4.0,FMCG,(419),"Company Culture, Work Life Balance, Job Security",,Hyderabad +77 other locations
Essar Group,3.8,Engineering & Construction,(419),Work Life Balance,"Promotions, Skill Development, Work Satisfaction",Mumbai +45 other locations
Fortis Escorts Hospital,4.2,Healthcare,(418),"Company Culture, Skill Development, Work Life Balance",,New Delhi +18 other locations
Magus Customer Dialog,3.7,BPO,(418),,"Promotions, Salary",Hyderabad +19 other locations
Ipsos,3.1,Analytics & KPO,(418),,"Work Satisfaction, Promotions, Work Life Balance",Mumbai +26 other locations
Indus Net Technologies,3.0,IT Services & Consulting,(418),,"Job Security, Promotions, Company Culture",Kolkata +7 other locations
Copeland,3.9,Electronics Manufacturing,(418),"Work Life Balance, Company Culture, Job Security","Promotions, Skill Development",Pune +25 other locations
Virchow Biotech,3.3,Pharma,(418),,"Promotions, Job Security, Salary",Hyderabad +13 other locations
Raptakos Brett and Company,3.4,Pharma,(418),,"Promotions, Skill Development, Company Culture",Mumbai +66 other locations
BPTP,4.1,Real Estate,(417),"Work Life Balance, Company Culture, Salary",,New Delhi +7 other locations
Balaji Wafers,4.4,FMCG,(417),"Company Culture, Work Life Balance, Work Satisfaction",,Indore +72 other locations
Odessa,3.6,Software Product,(417),Company Culture,"Skill Development, Work Satisfaction, Promotions",Bengaluru +3 other locations
PC Jewellers,3.8,Metals & Mining,(418),Job Security,"Promotions, Salary",New Delhi +75 other locations
GRT Jewellers,4.1,Jewellery,(416),"Job Security, Salary, Company Culture",,Chennai +38 other locations
Slice,3.2,Banking,(416),,"Promotions, Work Satisfaction, Job Security",Bengaluru +48 other locations
Jubilant Biosys,3.5,Biotechnology,(416),,"Promotions, Company Culture, Work Satisfaction",Bengaluru +14 other locations
Indian Space Research Organisation,4.6,Defence & Aerospace,(416),"Company Culture, Work Life Balance, Work Satisfaction",,Bengaluru +37 other locations
Himatsingka Seide,3.5,Fashion & Textile,(416),,"Promotions, Company Culture, Work Satisfaction",Bengaluru +16 other locations
Gujarat Ambuja Exports,3.3,Agro Chemicals,(416),,"Promotions, Company Culture, Salary",Ahmedabad +33 other locations
PowerSchool India,3.3,Software Product,(416),,"Job Security, Promotions, Skill Development",Bengaluru +8 other locations
SKH Y-TEC,3.9,Auto Components,(416),"Job Security, Work Life Balance, Skill Development",Promotions,Ahmedabad +24 other locations
VRB Consumer Products Private Limited,4.1,FMCG,(416),"Salary, Work Life Balance, Company Culture",,New Delhi +54 other locations
Onsitego,3.6,Internet,(415),,"Job Security, Promotions, Company Culture",Mumbai +31 other locations
Aramex,3.3,Logistics,(416),,"Promotions, Work Satisfaction, Company Culture",Mumbai +52 other locations
Kanpur Fertilizers & Chemicals,3.7,Agro Chemicals,(416),,"Promotions, Job Security, Salary",Kanpur +34 other locations
Dodsal Engineering & Construction,4.5,Engineering & Construction,(414),"Work Satisfaction, Skill Development, Company Culture",,Mumbai +35 other locations
Invensis Technologies,3.4,BPO,(414),,"Promotions, Salary, Company Culture",Bengaluru +13 other locations
SHARE Microfin,4.1,Financial Services,(415),"Company Culture, Work Life Balance, Work Satisfaction",,Hyderabad +142 other locations
Greet Technologies,2.7,BPO,(414),,"Promotions, Salary, Company Culture",Bengaluru +7 other locations
Core Integra Consulting Services,3.4,Recruitment,(414),,"Promotions, Salary, Company Culture",Mumbai +86 other locations
Bharat Aluminium Company (BALCO),3.9,Metals & Mining,(413),"Salary, Job Security, Skill Development",Promotions,Korba +17 other locations
V-bazaar Retail,3.9,Retail,(413),Work Life Balance,"Promotions, Salary",Gurugram +76 other locations
Oda Class,2.9,EdTech,(413),,"Job Security, Work Life Balance, Promotions",Bengaluru +9 other locations
Merck,4.1,Pharma,(413),"Work Life Balance, Company Culture, Job Security",Promotions,Bengaluru +53 other locations
Manhattan Associates,3.3,IT Services & Consulting,(413),,"Skill Development, Work Satisfaction, Promotions",Bengaluru +5 other locations
M Baazar,3.8,Retail,(413),"Work Life Balance, Job Security","Promotions, Salary",Kolkata +98 other locations
Euler Motors,3.6,Automobile,(413),,"Job Security, Promotions, Company Culture",New Delhi +31 other locations
Eversendai,3.5,Engineering & Construction,(413),,"Promotions, Company Culture, Work Life Balance",Chennai +19 other locations
Gold Plus Glass,3.4,Other,(413),,"Company Culture, Promotions, Work Life Balance",Roorkee +37 other locations
Win Medicare,4.1,Pharma,(413),"Work Life Balance, Company Culture, Work Satisfaction",,New Delhi +63 other locations
CapeStart,4.6,IT Services & Consulting,(413),"Company Culture, Work Satisfaction, Job Security",,Nagercoil +3 other locations
Schoolnet India,3.8,EdTech,(413),"Work Life Balance, Skill Development","Promotions, Salary",Mumbai +92 other locations
Workcell Solutions,3.5,Pharma,(412),,"Promotions, Job Security, Salary",Mumbai +19 other locations
Spoton Logistics,4.4,Logistics,(412),"Company Culture, Work Life Balance, Job Security",,Bengaluru +71 other locations
RDC Concrete (India),3.9,Real Estate,(412),"Skill Development, Company Culture, Job Security",,Mumbai +51 other locations
STUDDS Accessories Limited,4.0,Auto Components,(412),"Salary, Work Satisfaction, Skill Development",,Faridabad +15 other locations
Piramal Swasthya,4.1,,(412),"Work Life Balance, Company Culture, Work Satisfaction","Promotions, Job Security",Hyderabad +65 other locations
Recpdcl.ltd,4.1,Facility Management Services,(411),"Work Life Balance, Company Culture, Work Satisfaction","Job Security, Promotions",New Delhi +68 other locations
Bank of Maharashtra,3.3,Banking,(411),Job Security,"Work Life Balance, Company Culture, Work Satisfaction",Pune +78 other locations
Sarvodaya Hospital,3.8,Healthcare,(411),Work Life Balance,Promotions,Faridabad +20 other locations
Auro Realty Private Limited,4.4,Real Estate,(411),"Work Life Balance, Salary, Job Security",,Hyderabad +26 other locations
Kailash Hospital,3.9,Healthcare,(411),"Work Life Balance, Work Satisfaction, Job Security",Promotions,Noida +29 other locations
ICFAI University,3.6,Education & Training,(410),,"Promotions, Skill Development, Company Culture",Hyderabad +59 other locations
Air Liquide,3.4,Chemicals,(410),,"Promotions, Company Culture, Work Satisfaction",New Delhi +36 other locations
Dixit Infotech Services,3.5,IT Services & Consulting,(410),,"Promotions, Job Security, Work Satisfaction",Mumbai +43 other locations
SML Isuzu,4.1,Automobile,(411),"Work Life Balance, Job Security, Company Culture",,Chandigarh +52 other locations
Hindustan Foods,3.6,FMCG,(411),,"Promotions, Salary, Company Culture",Hyderabad +39 other locations
MAYORA,3.9,FMCG,(410),"Salary, Work Life Balance",,Hyderabad +87 other locations
Munjal Showa,3.2,Auto Components,(410),,"Promotions, Skill Development, Company Culture",Gurugram +13 other locations
LOGISTEED India Pvt. Ltd.,4.0,Logistics,(409),"Job Security, Company Culture, Work Life Balance",Promotions,Chennai +55 other locations
UCAL Fuel Systems,3.9,Auto Components,(409),,"Promotions, Salary, Company Culture",Chennai +20 other locations
RCM,4.1,Retail,(409),"Company Culture, Work Life Balance, Work Satisfaction",,Bhilwara +45 other locations
Bses Yamuna Power,3.7,Power,(409),"Work Life Balance, Job Security","Promotions, Salary, Skill Development",New Delhi +6 other locations
Black Knight,3.5,IT Services & Consulting,(409),,"Promotions, Company Culture, Work Life Balance",Hyderabad +4 other locations
Unilever Global,3.6,FMCG,(409),,"Promotions, Work Satisfaction",Bengaluru +66 other locations
PGP Glass,4.0,Packaging,(409),"Work Life Balance, Job Security, Salary",Promotions,Vadodara +15 other locations
L&T Heavy Engineering,3.7,,(408),"Job Security, Skill Development","Promotions, Work Life Balance, Company Culture",Surat +27 other locations
Stanley Black & Decker,3.7,Industrial Machinery,(408),Work Life Balance,"Promotions, Job Security",Pune +28 other locations
Cheil India,2.9,Marketing & Advertising,(408),,"Promotions, Skill Development, Company Culture",Gurugram +22 other locations
Hexagon Nutrition,4.1,Food Processing,(408),"Work Life Balance, Company Culture",,Mumbai +32 other locations
Gravita,4.4,Metals & Mining,(408),"Work Life Balance, Job Security, Company Culture",,Jaipur +21 other locations
Azentio,3.1,Software Product,(408),,"Promotions, Job Security, Work Satisfaction",Chennai +16 other locations
Thyssenkrupp Industrial Solutions,4.1,Industrial Machinery,(408),"Work Life Balance, Salary, Company Culture",Promotions,Mumbai +28 other locations
Al Turki Enterprises,3.5,Oil & Gas,(407),,"Promotions, Salary, Company Culture",Muscat +15 other locations
eNoah iSolution,3.8,IT Services & Consulting,(407),,Promotions,Chennai +9 other locations
American Axle & Manufacturing,4.3,Auto Components,(407),"Company Culture, Work Life Balance, Job Security",Promotions,Pune +11 other locations
Acadecraft,3.7,EdTech,(407),,,Noida +9 other locations
SMS India Private Limited,4.0,Engineering & Construction,(407),"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Gurugram +22 other locations
Hanon Systems,4.0,Auto Components,(407),"Company Culture, Work Life Balance, Work Satisfaction","Promotions, Salary",Chennai +21 other locations
Etech Global Services,3.6,BPO,(407),,"Promotions, Skill Development, Work Satisfaction",Gandhinagar +11 other locations
TVS Mobility,4.0,Automobile,(407),"Job Security, Company Culture, Skill Development",Promotions,Chennai +72 other locations
MRF Vapocure Paints,4.0,Chemicals,(407),"Work Life Balance, Salary",Promotions,Chennai +103 other locations
Adroit Synergies,3.2,BPO,(407),,"Promotions, Salary, Work Satisfaction",Noida +8 other locations
Venkateshwara Hatcheries,3.8,Food Processing,(406),Job Security,"Promotions, Salary",Pune +61 other locations
Broadcom,3.3,Semiconductors,(406),Salary,"Job Security, Promotions, Company Culture",Bengaluru +14 other locations
The Hans Foundation,4.1,Non-Profit,(406),"Work Life Balance, Salary, Company Culture",Job Security,New Delhi +84 other locations
Christian Medical College,4.1,Education & Training,(406),"Skill Development, Company Culture, Work Satisfaction",,Vellore +30 other locations
Roop Automotives,4.2,Auto Components,(406),"Company Culture, Work Satisfaction, Job Security",,Gurugram +14 other locations
Muthoot Housing Finance Company,4.1,NBFC,(406),"Work Life Balance, Job Security, Skill Development",,Mumbai +116 other locations
The Phoenix Mills,3.9,Real Estate,(407),Salary,Promotions,Mumbai +17 other locations
Uplers,3.6,Internet,(406),,"Promotions, Job Security, Work Satisfaction",Ahmedabad +12 other locations
Aeries Technology,3.1,IT Services & Consulting,(406),,"Job Security, Promotions, Skill Development",Bengaluru +7 other locations
Writer Corporation,3.4,Logistics,(405),,"Promotions, Salary, Work Satisfaction",Mumbai +58 other locations
CEVA Logistics,3.8,Logistics,(405),,Promotions,Mumbai +49 other locations
Kuehne + Nagel,3.6,Logistics,(405),,"Promotions, Company Culture, Work Satisfaction",Gurugram +34 other locations
Nyati Group,4.2,Real Estate,(405),"Company Culture, Job Security, Salary",,Pune +18 other locations
ClearTax,3.0,IT Services & Consulting,(405),,"Job Security, Promotions, Work Satisfaction",Bengaluru +10 other locations
Welspun Flooring,3.8,Building Material,(405),Skill Development,Promotions,Hyderabad +26 other locations
Pearson Education India,3.8,Education & Training,(404),"Work Life Balance, Company Culture",Promotions,Bengaluru +57 other locations
Mettler-Toledo,3.5,Electrical Equipment,(404),,"Promotions, Salary, Work Satisfaction",Mumbai +23 other locations
ABC Consultants,3.9,Recruitment,(404),"Job Security, Company Culture, Work Life Balance",,Bengaluru +27 other locations
Burns & McDonnell,4.1,Engineering & Construction,(404),"Company Culture, Work Life Balance, Job Security",,Mumbai +11 other locations
National Fertilizers,4.3,Agro Chemicals,(404),"Job Security, Work Life Balance, Company Culture",,Bathinda +36 other locations
Connectwise India,3.3,IT Services & Consulting,(404),,"Promotions, Work Satisfaction, Job Security",Pune +9 other locations
Mantra Properties,4.3,Real Estate,(404),"Company Culture, Job Security, Skill Development",,Pune +1 other locations
GE Vernova T&D India,4.1,Power,(403),"Company Culture, Work Life Balance, Work Satisfaction",Promotions,Chennai +39 other locations
Wonderla Holidays,4.4,Events,(403),"Company Culture, Work Life Balance, Work Satisfaction",,Bengaluru +16 other locations
Huron,3.6,Management Consulting,(403),Salary,"Promotions, Work Satisfaction",Bengaluru +14 other locations
Karamtara Engineering Limited,3.6,Engineering & Construction,(403),,"Promotions, Company Culture, Work Life Balance",Mumbai +16 other locations
Sunstone,3.7,Education & Training,(403),Work Life Balance,"Promotions, Job Security",Gurugram +25 other locations
S. M. Auto Engineering,3.4,Auto Components,(403),,"Promotions, Company Culture, Salary",Pune +7 other locations
Cooper Corporation,4.0,Auto Components,(402),"Skill Development, Work Life Balance, Company Culture",,Satara +15 other locations
Tirumala Milk Products,4.2,Food Processing,(402),"Company Culture, Work Life Balance, Skill Development",,Chennai +55 other locations
Thermax Babcock Wilcox Energy Solutions,4.1,Industrial Machinery,(402),"Job Security, Company Culture, Skill Development",Promotions,Pune +42 other locations
CANTABIL RETAIL INDIA,4.0,Fashion & Textile,(402),"Skill Development, Work Satisfaction",Promotions,New Delhi +109 other locations
Federal Mogul Goetze,3.9,Auto Components,(403),,Promotions,Bengaluru +32 other locations
Gps Renewables,4.0,Oil & Gas,(402),"Salary, Skill Development, Company Culture",,Bengaluru +42 other locations
Mindlance,3.6,Recruitment,(401),,"Promotions, Work Satisfaction, Company Culture",Noida +12 other locations
GMR Hyderabad International Airport,4.1,Aviation,(401),"Job Security, Work Life Balance, Company Culture","Promotions, Salary",Hyderabad +15 other locations
